Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
Tarih/Saat, Trafik Işığı, Araç Durumu, Hız (km/h), Raycast Mesafesi (m)
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
3.12.2024 12:46:50,Kırmızı,Durdu,0,11,41845
